species,w_inf,w_mat,k_vb,alpha,beta,sigma,f0,z0pre,p,q,n,w_min,r_max,h,ks,z0,gamma,erepro
Notolabrus,1600,180,0.16,0.6,500,1.3,0.6,0.6,0.8,0.75,0.75,0.042137431,0.014768819,53.65225768,3.16227766,0.05,1318.170619,0.042825266
L_forsteri,5193,792,0.24,0.6,1500,1.5,0.6,0.6,0.8,0.75,0.75,0.049687806,0.001936955,64.01514783,2.356000699,0.05,880.2176154,0.056208848
T_caudimaculatus,39,9,0.45,0.6,500,1.5,0.6,0.6,0.8,0.75,0.75,0.025051879,0.018343949,30.73475074,4.5,0.05,652.6963333,0.061120252
C_rasor,623,161,0.4,0.6,1000,1.5,0.6,0.6,0.8,0.75,0.75,0.036924922,0.005163588,46.57396488,4.003206415,0.05,922.822736,0.01118686
D_lewini,1032,250,0.3,0.6,100,1.3,0.6,0.6,0.8,0.75,0.75,0.039628389,0.006012241,50.23679898,3.528662087,0.05,2899.910953,0.080178132
leather_cool,2974,500,0.4,0.6,500,1.3,0.6,0.6,0.8,0.75,0.75,0.045957775,0.001565288,58.88045386,2.708287434,0.05,1446.621031,0.005750103
C_spectabilis,13568,2947,0.2,0.6,2500,1.5,0.6,0.6,0.8,0.75,0.75,0.056838614,2.30E-05,73.93454075,1.853109306,0.05,994.1649689,0.004305252
C_laticeps,16012,1810,0.2,0.6,1500,1.5,0.6,0.6,0.8,0.75,0.75,1,3.53E-07,75.79435151,1.777946139,0.05,1609.601318,0.003347232
P_laticlavius,389,51,0.3,0.6,250,1.5,0.6,0.6,0.8,0.75,0.75,0.034568792,0.141223429,43.39727344,4.503421484,0.05,987.8041908,0.05697529
Boarfish,2192,275,0.35,0.6,500,1.3,0.6,0.6,0.8,0.75,0.75,0.044036109,0.000243717,56.24657559,2.922939715,0.05,1147.006024,0.037867986
M_freycineti,4300,1012,0.18,0.6,1000,1.5,0.6,0.6,0.8,0.75,0.75,0.048392365,0.000384005,62.2286347,2.46980623,0.05,1150.434655,0.0197638
P_bachus,1512,325,0.42,0.6,100,1.3,0.6,0.6,0.8,0.75,0.75,0.041805027,0.000410533,53.19891477,3.207318194,0.05,3070.8986,0.019539475
O_cyanomelas,3364,439,0.25,0.2,100,3,0.6,0.6,0.8,0.75,0.75,0.04675748,9.34E-05,179.936661,2.626128657,0.05,2247.511671,0.003076297
A_arctidens,4400,803,0.2,0.2,100,3,0.6,0.6,0.8,0.75,0.75,0.048548368,2.77E-05,187.3307882,2.45565203,0.05,2339.868545,0.00200233
predator,2916,192,0.2,0.6,75,1.3,0.6,0.6,0.8,0.75,0.75,0.04583123,0.000142989,58.70676267,2.72165527,0.05,3634.714274,0.003560336
lobsters,3000,400,0.3,0.6,100,1.3,0.6,0.6,0.8,0.75,0.75,0.05,0.000901844,56,2.5,0.05,2500,0.02
