,Sparus aurata,spondyliosoma cantharus,Dicentrarchus punctatus,Halobatrachus didactylus,Anguilla anguilla,Dentex dentex,Belone belone,Dicentrarchus labrax,Solea senegalensis,Diplodus annullaris,Diplodus vulgaris,Atherina cf. boyeri,Mullus barbatus,Diplodus sargus,Sarpa salpa,labrus sp,Gobidae sp,Engraulis encrasicholus,Sardina pilchardus,Chelon labrosus 
Sparus aurata,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
spondyliosoma cantharus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dicentrarchus punctatus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Halobatrachus didactylus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anguilla anguilla,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dentex dentex,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belone belone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dicentrarchus labrax,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Solea senegalensis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Diplodus annullaris,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Diplodus vulgaris,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Atherina cf. boyeri,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mullus barbatus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Diplodus sargus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sarpa salpa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
labrus sp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gobidae sp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Engraulis encrasicholus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sardina pilchardus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chelon labrosus ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
