,Sprat,Sandeel,N.pout,Herring,Dab,Whiting,Sole,Gurnard,Plaice,Haddock,Cod,Saithe
Sprat,0.7291291933,0.0340843971,0.0635451683,0.2741698205,0.3624155172,0.2652592388,0.2979555804,0.1751557639,0.3706597528,0.0813554676,0.3375796939,0.0168132077
Sandeel,0.0340843971,0.681198823,0.0489243168,0.0588821366,0.0973666264,0.0751001085,0.0602085994,0.0599264861,0.0780185491,0.0939573015,0.0994345276,0.0160902217
N.pout,0.0635451683,0.0489243168,0.7966042905,0.297550686,0.0908879762,0.299898861,0.016790196,0.3062414081,0.0785581818,0.5491755359,0.3250225559,0.2949893654
Herring,0.2741698205,0.0588821366,0.297550686,0.6589010416,0.2896395702,0.3737392659,0.2001413943,0.2751062717,0.2779186657,0.348354692,0.4047793011,0.1262059087
Dab,0.3624155172,0.0973666264,0.0908879762,0.2896395702,0.8081776799,0.3338972743,0.3804746421,0.2204120028,0.5649220599,0.1316806453,0.4164780099,0.0313819735
Whiting,0.2652592388,0.0751001085,0.299898861,0.3737392659,0.3338972743,0.7092822954,0.1922745547,0.3710990357,0.2950380712,0.3916478694,0.4406087917,0.1022816768
Sole,0.2979555804,0.0602085994,0.016790196,0.2001413943,0.3804746421,0.1922745547,0.7155804902,0.106778949,0.3913731667,0.0344779938,0.2576122884,0.0124205471
Gurnard,0.1751557639,0.0599264861,0.3062414081,0.2751062717,0.2204120028,0.3710990357,0.106778949,0.8801050039,0.1649211971,0.3573544383,0.3518328211,0.1235199379
Plaice,0.3706597528,0.0780185491,0.0785581818,0.2779186657,0.5649220599,0.2950380712,0.3913731667,0.1649211971,0.7192239106,0.112485135,0.3504367079,0.0329493896
Haddock,0.0813554676,0.0939573015,0.5491755359,0.348354692,0.1316806453,0.3916478694,0.0344779938,0.3573544383,0.112485135,0.8583072498,0.395773411,0.2616746984
Cod,0.3375796939,0.0994345276,0.3250225559,0.4047793011,0.4164780099,0.4406087917,0.2576122884,0.3518328211,0.3504367079,0.395773411,0.7865470546,0.2089449648
Saithe,0.0168132077,0.0160902217,0.2949893654,0.1262059087,0.0313819735,0.1022816768,0.0124205471,0.1235199379,0.0329493896,0.2616746984,0.2089449648,0.663835533
