Species,wprey,wpredator,Nprey
anchovy,1.6828E-08,15.34,106.0698958
anchovy,2.749E-09,15.34,5.04645569
anchovy,6.187E-09,15.34,8.772343536
anchovy,1.5E-09,15.34,12500.2594
anchovy,3.534E-09,15.34,33.91029571
anchovy,1.00531E-07,15.34,37.3060416
anchovy,3.0015E-08,15.34,1.22624157
anchovy,3.937E-09,15.34,9756.449559
anchovy,7.8E-10,15.34,0.188652549
anchovy,3.5605E-08,15.34,10.23440079
anchovy,9.94625E-07,15.34,2876.668396
anchovy,1.58E-10,15.34,0.188652549
anchovy,5.0265E-08,15.34,1535.207282
anchovy,6.0495E-08,15.34,4201.763901
anchovy,9.802E-09,15.34,769.3722586
anchovy,1.9E-10,15.34,70.13158515
anchovy,9.772E-09,15.34,0.141489412
anchovy,1.44013E-07,15.34,86.35570438
anchovy,6.3513E-08,15.34,510.3994718
anchovy,2.12058E-08,15.34,0.707447059
anchovy,1.76715E-07,15.34,0.330141961
anchovy,1.608E-09,15.34,0.094326275
anchovy,1.187E-08,15.34,0.754610197
anchovy,3.125E-08,15.34,554.4970051
anchovy,6.8E-09,15.34,928.4535207
anchovy,3.013E-09,15.34,236.9947649
anchovy,1.3081E-08,15.34,71.35782672
anchovy,7.5398E-08,15.34,214.9224166
anchovy,3.6882E-08,15.34,106.8716691
anchovy,1.3641E-08,15.34,0.424468236
anchovy,6.46E-10,15.34,1579.729284
anchovy,5.89049E-07,15.34,1.273404707
anchovy,1.08532E-07,15.34,211.951139
anchovy,4.59E-10,15.34,45861.19889
anchovy,1.08909E-07,15.34,26.97731453
anchovy,1.252E-09,15.34,1840.871575
anchovy,1.439E-08,15.34,24214.07348
anchovy,1.215E-08,15.34,0.094326275
anchovy,4.7435E-08,15.34,379.4746027
anchovy,0.00000005,15.34,28.72235061
anchovy,0.00000005,15.34,0.801773334
anchovy,0.00000005,15.34,1.03758902
anchovy,0.00000005,15.34,58.85959534
anchovy,0.00000005,15.34,59.23690044
anchovy,0.00000005,15.34,2.075178041
anchovy,8.8099E-08,15.34,0.094326275
anchovy,0.00000005,15.34,2.499646276
anchovy,0.00000005,15.34,0.282978824
anchovy,0.00000005,15.34,0.047163137
anchovy,1.6303E-08,15.34,63.19860397
anchovy,1.33298E-07,15.34,540.5367165
anchovy,0.00000005,15.34,33.20284865
anchovy,0.00000005,15.34,0.754610197
anchovy,0.00000005,15.34,47.25746357
anchovy,0.00000003,15.34,399.4246097
anchovy,0.00000003,15.34,26.69433571
anchovy,1.964E-09,15.34,0.282978824
anchovy,1.4399E-07,15.34,57.25604867
anchovy,9.8175E-08,15.34,0.471631373
anchovy,9.8175E-08,15.34,16.03546668
anchovy,9.8175E-08,15.34,3.914540395
anchovy,9.8175E-08,15.34,15.89397727
anchovy,9.8175E-08,15.34,10.18723766
anchovy,9.8175E-08,15.34,4.574824317
anchovy,9.8175E-08,15.34,156.1099844
anchovy,9.8175E-08,15.34,34.5234165
anchovy,9.8175E-08,15.34,50.98335141
anchovy,5.23599E-07,15.34,49.04966278
anchovy,8.8698E-08,15.34,93.66599066
anchovy,9.8175E-08,15.34,0.565957648
anchovy,0.0000385,15.34,1.887468754
anchovy,0.000101204,15.34,0.758383248
anchovy,0.000101204,15.34,5.390746592
anchovy,0.000101204,15.34,0.103287271
anchovy,0.0001767,15.34,2.222327029
anchovy,0.00026,15.34,6.104796491
anchovy,0.000101204,15.34,5.298306843
anchovy,0.000101204,15.34,0.321180965
anchovy,0.0000615,15.34,0.009432627
anchovy,0.0001308,15.34,6.811300288
anchovy,0.000101204,15.34,0.005659576
anchovy,0.000101204,15.34,0.10989011
anchovy,0.000101204,15.34,4.390416451
anchovy,0.000101204,15.34,1.62477008
anchovy,0.000101204,15.34,0.013205678
anchovy,0.000101204,15.34,0.939961326
anchovy,0.0001874,15.34,0.000471631
anchovy,0.000101204,15.34,0.231571004
anchovy,0.0001375,15.34,0.864500307
anchovy,0.000101204,15.34,0.497571098
anchovy,0.00005934,15.34,0.152336933
anchovy,0.000101204,15.34,1.790312692
anchovy,0.000101204,15.34,0.016978729
anchovy,0.0000145,15.34,5.981700703
anchovy,0.000041,15.34,8.201197944
anchovy,0.000101204,15.34,5.153987643
anchovy,0.000101204,15.34,0.393340565
anchovy,0.000101204,15.34,0.018865255
anchovy,0.000101204,15.34,0.001886525
anchovy,0.000101204,15.34,0.050464557
anchovy,0.000101204,15.34,0.026882988
anchovy,0.000101204,15.34,0.631514408
anchovy,0.000101204,15.34,0.034900722
anchovy,0.000101204,15.34,0.167900769
anchovy,0.000101204,15.34,2.498231382
anchovy,0.000006,15.34,5.673253785
anchovy,0.000101204,15.34,13.46837712
anchovy,0.01137,15.34,2.891996416
anchovy,0.007004792,15.34,0.099184078
anchovy,0.007004792,15.34,0.007074471
anchovy,0.007004792,15.34,1.824364477
anchovy,0.007004792,15.34,0.669952365
anchovy,0.007004792,15.34,0.338159694
anchovy,0.007004792,15.34,0.003773051
anchovy,0.007004792,15.34,0.050936188
anchovy,0.007004792,15.34,4.71631E-05
anchovy,0.007004792,15.34,0.002263831
anchovy,0.007004792,15.34,0.144413526
anchovy,0.007004792,15.34,4.71631E-05
anchovy,0.007004792,15.34,0.381549781
anchovy,0.007004792,15.34,0.939018063
anchovy,0.000267,15.34,1.868179031
anchovy,0.007004792,15.34,0.008489365
anchovy,0.007004792,15.34,0.003773051
anchovy,0.007004792,15.34,0.133471679
anchovy,0.007004792,15.34,0.000235816
anchovy,0.007004792,15.34,0.376927793
anchovy,0.000267,15.34,0.011696458
anchovy,0.000267,15.34,0.000707447
anchovy,0.007004792,15.34,0.091072018
anchovy,0.007004792,15.34,0.017025893
anchovy,0.007004792,15.34,0.001933689
anchovy,0.017366467,15.34,9.43263E-05
anchovy,0.007004792,15.34,0.038154978
anchovy,0.012491287,15.34,0.00240532
sardine,1.5E-09,108.614,94.5824
sardine,1.00531E-07,108.614,0.3670
sardine,3.937E-09,108.614,103.8813
sardine,9.94625E-07,108.614,10.9516
sardine,5.0265E-08,108.614,0.0044
sardine,6.0495E-08,108.614,0.2769
sardine,9.802E-09,108.614,0.2022
sardine,1.9E-10,108.614,0.0945
sardine,9.772E-09,108.614,0.0352
sardine,1.44013E-07,108.614,0.6154
sardine,6.3513E-08,108.614,0.0022
sardine,2.12058E-08,108.614,0.0440
sardine,1.76715E-07,108.614,0.7341
sardine,6.8E-09,108.614,0.6088
sardine,3.013E-09,108.614,0.8220
sardine,7.5398E-08,108.614,0.0923
sardine,3.6882E-08,108.614,0.0769
