Spp,Predator mass,Prey mass,log10_PPMR
Swordfish,202000,30.5,3.82105153
Swordfish,202000,40.5,3.697896346
Swordfish,39700,49.2,2.906825404
Swordfish,39700,18,3.343518002
Swordfish,39700,24.9,3.20259116
Swordfish,39700,59.9,2.821363684
Swordfish,21100,8.16,3.412592297
Swordfish,21100,14.9,3.151096187
Swordfish,21100,5.49,3.584710111
Swordfish,21100,152,2.142438867
Swordfish,21100,252,1.922881915
Swordfish,21100,0.53,4.600006586
Swordfish,21100,22.1,2.979890182
Swordfish,21100,42.6,2.694872856
Swordfish,21100,11.9,3.248735494
Swordfish,21100,0.274,4.886531892
Swordfish,21100,0.0618,5.53329398
Swordfish,21100,10.9,3.286855957
Swordfish,21100,0.66,4.50473852
Swordfish,21100,4.16,3.705189125
Swordfish,21100,35.7,2.771614239
Swordfish,21100,4.75,3.647588846
Swordfish,21100,4.16,3.705189125
Swordfish,21100,0.937,4.352542864
Swordfish,21100,50,2.625312451
Swordfish,21100,0.897,4.371490012
Swordfish,21100,10.9,3.286855957
Swordfish,26700,9.91,3.430437607
Swordfish,26700,13.3,3.30265962
Swordfish,106000,812,2.115749836
Swordfish,106000,639,2.219805007
Swordfish,106000,10.4,4.008272526
Swordfish,106000,4.06,4.416779832
Swordfish,106000,6.62,4.204447876
Swordfish,106000,161,2.818479989
Swordfish,106000,179,2.772452834
Swordfish,19000,5.27,3.556942986
Swordfish,19000,8.55,3.346787486
Swordfish,19000,12.1,3.195968231
Swordfish,19000,4.55,3.620742204
Swordfish,50900,32.2,3.198861911
Swordfish,50900,50,3.007747778
Swordfish,50900,336,2.180378505
Swordfish,50900,28.3,3.254931347
Swordfish,149000,115,3.112488428
Swordfish,347000,1680,2.315020193
Swordfish,347000,1240,2.44690779
Swordfish,347000,29.8,4.066113211
Swordfish,347000,35,3.99626143
Swordfish,347000,41.7,3.92019342
Swordfish,141000,51.9,3.434051755
Swordfish,141000,1050,2.128029814
Swordfish,18300,40.5,2.654996067
Swordfish,18300,22.6,2.908342651
Swordfish,18300,23,2.900723254
Swordfish,18300,25.1,2.862777368
Swordfish,18300,31.6,2.762764007
Swordfish,18300,31.7,2.761391828
Swordfish,18300,37,2.694249366
Swordfish,18300,39.1,2.670274332
Swordfish,18300,53.9,2.530862325
Swordfish,17700,8.9,3.29858326
Swordfish,17700,31.7,2.746914004
Swordfish,17700,70.5,2.399784149
Swordfish,17700,228,1.890038419
Swordfish,17700,43.5,2.609484009
Swordfish,217000,1.37,5.199739167
Swordfish,217000,4.44,4.689076764
Swordfish,217000,10.7,4.307075956
Swordfish,217000,306,2.850738307
Swordfish,217000,220,2.994037053
Swordfish,217000,1850,2.069288005
Swordfish,332000,448,2.86986007
Swordfish,332000,20.6,4.207270863
Swordfish,332000,49.1,3.830056592
Swordfish,332000,77.2,3.633520783
Swordfish,332000,93.7,3.549398493
Swordfish,332000,53,3.796862214
Swordfish,69000,36.8,3.273001272
Swordfish,69000,45.4,3.181793238
Swordfish,69000,9.86,3.844972176
Swordfish,69000,7.78,3.947869494
Swordfish,69000,7.53,3.962054115
Swordfish,69000,6.03,4.058531779
Swordfish,69000,5.68,4.084500755
Swordfish,69000,5.17,4.125358548
Swordfish,69000,4.46,4.189514232
Swordfish,69000,5.71,4.082212982
Swordfish,69000,6.67,4.014723257
Swordfish,69000,9.33,3.868967447
Swordfish,69000,6.8,4.006340178
Swordfish,69000,9.08,3.880763242
Swordfish,69000,7.63,3.956324553
Swordfish,69000,16.2,3.629334076
Swordfish,69000,8,3.935759104
Swordfish,69000,7.89,3.941772088
Swordfish,69000,5.56,4.093774299
Swordfish,69000,5.1,4.131278915
Swordfish,69000,4.73,4.16398795
Swordfish,69000,8.84,3.892396826
Swordfish,69000,5.53,4.096123959
Swordfish,69000,6.54,4.023271342
Swordfish,69000,6.99,3.994371915
Swordfish,69000,9.91,3.842775436
Swordfish,69000,9.02,3.883642553
Swordfish,69000,20.6,3.52498187
Swordfish,69000,5.56,4.093774299
