,Sprat,Sandeel,N.pout,Herring,Dab,Whiting,Sole,Gurnard,Plaice,Haddock,Cod,Saithe
1967,0,0,0,1.0360278635,0.0941765478,0.8294527753,0.6502019095,0,0.4708827392,0.742869378,0.66774561,0.4725102061
1968,0,0,0,1.734457572,0.0737606529,0.8008994793,0.78312496,0,0.3688032643,0.7084553014,0.6994389369,0.4270200931
1969,0,0,0,1.4345001187,0.0757363846,1.3168279992,0.8744094645,0,0.3786819231,1.3302820651,0.6917888235,0.3844648261
1970,0,0,0,1.4342405277,0.1053723612,1.347350488,0.6389915318,0,0.5268618061,1.3670695263,0.7070890502,0.5987085841
1971,0,0,0,1.8234973007,0.0838588375,0.9741884478,0.8167560932,0,0.4192941874,0.9173131457,0.7737543239,0.4827821671
1972,0,0,0,0.9033768391,0.09044461,1.3148588064,0.738283449,0,0.4522230502,1.3279086805,0.8393267242,0.5796320851
1973,0,0,0,1.4729195935,0.1022990007,1.0657559141,0.803944233,0,0.5114950034,1.0276755293,0.8251193708,0.6104479681
1974,0,0,0,1.3655786961,0.1077871445,1.1602771697,0.7783205124,0,0.5389357225,1.1415979898,0.8130977641,0.8158871881
1975,0,0,0,1.9100709145,0.1231539472,1.2981206674,0.7943353377,0,0.6157697359,1.3077349114,0.848069711,0.7072978861
1976,0,0,0,1.8746367367,0.0913227131,1.1711077302,0.6774271126,0,0.4566135653,1.1546516051,0.8786701644,1.1152414802
1977,0,0,0,1.0419984576,0.1119581338,1.2301835149,0.7350804839,0,0.559790669,1.2258531429,0.8775772911,0.9024651451
1978,0,0,0,0.0684022405,0.1029575779,1.2587368109,0.762305687,0,0.5147878897,1.2602672195,0.9354995781,0.6999607711
1979,0,0,0,0.0833287257,0.1479603572,1.18489208,0.7879294076,0,0.7398017861,1.1712652972,0.8863202778,0.5810995081
1980,0,0,0,0.3681001028,0.1222758442,1.0982475957,0.7254715887,0,0.6113792208,1.0668363751,0.9431496914,0.6500683891
1981,0,0,0,0.4562312629,0.1181048549,0.8619444569,0.7975383028,0,0.5905242743,0.7820302238,0.9759358916,0.4490314381
1982,0,0,0,0.3426601804,0.132154503,0.8619444569,0.872807982,0,0.6607725152,0.7820302238,1.0677372521,0.6882213871
1983,1.4703531894,0.6669087142,1.4703531894,0.4387088673,0.1301787713,1.0834786496,0.78312496,0,0.6508938563,1.0490359906,1.0568085187,0.8041478041
1984,2.0918426818,0.6826442425,2.0918426818,0.5909590156,0.1279835137,1.072648089,0.9929191722,0,0.6399175687,1.0359823754,0.9988862317,0.9934453712
1985,2.1827923636,0.6979169612,2.1827923636,0.8353639852,0.1163486488,1.0716634926,0.9608895215,0,0.5817432442,1.0347956831,0.9682857782,1.0492074452
1986,1.8408889301,0.8538838152,1.8408889301,0.7428197774,0.1451065224,1.397564905,0.9320628358,0,0.7255326122,1.4275908334,1.0130935851,1.2032868602
1987,1.4770902028,0.6719996204,1.4770902028,0.7167308773,0.1519118208,1.2213221472,0.7895308901,0,0.7595591038,1.2151729122,1.0152793318,0.9508901041
1988,1.1099229688,1.1190737481,1.1099229688,0.6963529802,0.1462041512,1.3040282458,0.9112435629,0,0.731020756,1.3148550652,1.0196508252,0.9171393751
1989,1.3692979874,1.1454538985,1.3692979874,0.7066068265,0.1334716575,1.1504312056,0.7062537983,0,0.6673582877,1.1297310668,1.0338581786,0.9963802172
1990,1.2396104781,0.8858176815,1.2396104781,0.573177029,0.1242515759,1.3076163079,0.7126597284,0.1307616308,0.6212578797,1.321975219,0.9748430183,0.8877909151
1991,1.4754059495,0.7807598896,1.4754059495,0.6350894934,0.1420331619,1.0587673415,0.7158626935,0.1058767341,0.7101658095,1.0537827598,0.9759358916,0.8540401861
1992,1.5495130976,0.7529913102,1.5495130976,0.7546311699,0.1383012241,1.0093066774,0.6774271126,0.1009306677,0.6915061205,1.1629584512,0.9464283114,0.9347484511
1993,1.3777192542,0.5984128851,1.3777192542,0.8951997212,0.1400574301,1.0154892604,0.8167560932,0.101548926,0.7002871506,1.0632762982,0.9584499182,0.7865387281
1994,1.7735187954,0.5470410133,1.7735187954,0.9173947556,0.1352278636,1.262792581,0.9064391152,0.1262792581,0.6761393178,0.9849546066,0.9682857782,0.7557228451
1995,0.9650771793,0.5775864506,0.9650771793,0.9586697319,0.1409355331,1.1314126919,0.8599961217,0.1131412692,0.7046776657,0.8698454538,0.996700485,0.6148502371
1996,0.734334468,0.5937847886,0.734334468,0.5212588198,0.14730178,1.0294000722,1.1274437052,0.1029400072,0.7365088998,0.8164443004,1.0196508252,0.6045782761
1997,0.9953937399,0.8256524262,0.9953937399,0.5443624229,0.1734253445,0.785188043,0.9704984167,0.0785188043,0.8671267226,0.6372537635,1.0316724319,0.4270200931
