species,w_inf,w_mat,beta,sigma,h,ks,gamma,z0,l25,l50,a,b,r_max
Sprat,63.9,2.673344033,51076,0.8,8.095779,1.619156,1.43e-11,0.1500782065,7.008,7.291,0.007,3.018,5.43e+11
Sandeel,23.4,16.11693138,398849,1.9,12.72815,2.54563,7.18e-12,0.2097712493,13.967,15.841,0.001243,3.32,3.65e+11
N.pout,232.2,7.383763586,21.5,1.5,10.346438,2.069288,2.74e-11,0.0976181363,8.474,9.616,0.009,2.962,1.51e+12
Herring,296.7,42.92651202,280540,3.2,18.953044,3.790609,6.65e-12,0.0899591621,0.857,11.529,0.002,3.402,4.4e+12
Dab,254.2,21.46440003,191,1.9,26.552898,5.31058,4.15e-11,0.0947165931,16.068,26.37,0.009,3.032,3.34e+11
Whiting,888.8,59.18080554,22,1.5,19.950454,3.990091,5.27e-11,0.0624045949,21.97,27.855,0.005,3.143,26739561237
Sole,566,141.4041886,381,1.9,20.67976,4.135952,2.95e-11,0.0725346923,22.944,27.268,0.006,3.098,1158949699
Gurnard,570.7,91.6880048,283,1.8,11.543509,2.308702,1.81e-11,0.0723350234,21.97,27.855,0.004,3.202,12670217530
Plaice,2525,274.4500056,113,1.6,11.574602,2.31492,2.3e-11,0.0440619916,16.068,26.37,0.007,3.108,1e+18
Haddock,4316.5,226.8829374,558,2.1,21.166738,4.233348,2.6e-11,0.0368502695,21.209,24.642,0.005,3.171,61967134950
Cod,39851.3,1243.302011,66,1.3,42.981002,8.5962,1.13e-10,0.0175659005,15.064,20.685,0.005,3.156,526372660.6
Saithe,39658.6,2538.845804,40,1.1,22.166263,4.433253,7.37e-11,0.0175943053,46.504,52.006,0.006,3.093,16514258563
